"Cipher","Block Size (bits)","Key Size (bits)","Implementation Version","Implementation Info","Implementation Authors"
"SPARX","64","128","25"," SPARX reference implementation; use optimized rotations; ASM with macros; limit the number of registers used; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","64","128","26"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; limit the number of registers used; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","64","128","27"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; fully unrolled (except for KS); limit the number of registers used; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","64","128","28"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; limit the number of registers used; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","64","128","29"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; roll A in A_3; limit the number of registers used; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","64","128","30"," SPARX reference implementation; use optimized rotations; ASM with macros; limit the number of registers used; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","64","128","31"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; limit the number of registers used; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","64","128","32"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; fully unrolled (except for KS); limit the number of registers used; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","64","128","33"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; limit the number of registers used; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","64","128","34"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; roll A in A_3; limit the number of registers used; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","64","128","35"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; roll A in A_3; limit the number of registers used; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same) and EKS_STORE_ROUND_KEYS (worse = slower)"," Daniel Dinu"
"Speck","64","128","01"," Optimized C code"," Jason Smith, Yann Le Corre"
"Speck","64","128","02"," Single round per loop iteration in assembly for AVR and MSP"," Jason Smith, Yann Le Corre"
"Speck","64","128","03"," Unroll three rounds per loop iteration for higher performance at reasonable code size"," Jason Smith, Yann Le Corre"
"Speck","64","128","04"," Three rounds per loop iteration in assembly for AVR and MSP"," Jason Smith, Yann Le Corre"
"Speck","64","128","05"," Unroll nine rounds per loop iteration for highest performance"," Jason Smith, Yann Le Corre"
"Speck","64","128","06"," Nine rounds per loop iteration in assembly for AVR and MSP"," Jason Smith, Yann Le Corre"
"Speck","64","96","01"," optimized reference implementation"," Yann Le Corre"
"Speck","64","96","02"," optimized reference implementation. Use only rotations by 1 on 8"," Yann Le Corre"
"Speck","64","96","03"," Optimized C code"," Jason Smith, Yann Le Corre"
"Speck","64","96","04"," Single round per loop iteration in assembly for AVR and MSP"," Jason Smith, Yann Le Corre"
"Speck","64","96","05"," Unroll two rounds per loop iteration for high performance at reasonable code size."," Jason Smith, Yann Le Corre"
"Speck","64","96","06"," Unroll two rounds per loop iteration for high performance at reasonable code size."," Jason Smith, Yann Le Corre"
"Speck","64","96","07"," Unroll three rounds per loop iteration for encrypt and two for decrypt for high performance."," Jason Smith, Yann Le Corre"
"Speck","64","96","08"," Unroll three rounds per loop iteration for encrypt and two for decrypt for high performance. Assembly implementation for AVR and MSP."," Jason Smith, Yann Le Corre"
"Speck","64","96","09"," Unroll 13 rounds per loop iteration for high performance."," Jason Smith, Yann Le Corre"
"Speck","64","96","10"," Unroll many rounds for highest performance"," Jason Smith, Yann Le Corre"
"TWINE","64","80","01"," Speed-optimized implementation of Twine with 80-bit key"," Dmitry Khovratovich"
"TWINE","64","80","02"," Size-optimized implementation of Twine with 80-bit key"," Dmitry Khovratovich"
"TWINE","64","80","03"," Speed-optimized implementation of Twine with 80-bit key; store all constants in RAM"," Dmitry Khovratovich"
"TWINE","64","80","04"," Size-optimized implementation of Twine with 80-bit key; store all constants in RAM"," Dmitry Khovratovich"
